Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,122.519997,123.209999,122.150002,122.889999,108.414322,5678981
2017-04-25,123.339996,123.745003,123.010002,123.430000,108.890694,5089987
2017-04-26,123.790001,124.260002,123.480003,123.510002,108.961281,5021739
2017-04-27,123.580002,124.305702,123.400002,123.739998,109.164177,4225165
2017-04-28,123.849998,123.900002,123.129997,123.470001,108.925995,4381739
2017-05-01,123.400002,123.775002,123.000000,123.339996,108.811325,4556360
2017-05-02,123.519997,123.739998,122.889999,123.699997,109.128899,4881141
2017-05-03,123.589996,123.699997,123.040001,123.330002,108.802475,3736334
2017-05-04,123.690002,123.949997,123.230003,123.949997,109.349457,3753503
2017-05-05,123.800003,123.800003,122.860001,123.510002,108.961281,4139455
2017-05-08,123.529999,123.800003,123.019997,123.250000,108.731911,3608968
2017-05-09,123.230003,123.470001,122.879997,123.209999,108.696617,3762488
2017-05-10,122.910004,123.055000,122.379997,122.809998,108.343727,4237412
2017-05-11,122.500000,123.209999,122.339996,123.199997,108.687790,4095893
2017-05-12,123.110001,124.099998,123.010002,123.639999,109.075966,4097060
2017-05-15,124.410004,127.360001,124.330002,126.989998,112.031364,9819371
2017-05-16,127.339996,128.369995,127.059998,127.769997,112.719467,7232951
2017-05-17,126.599998,127.889999,126.449997,126.669998,111.749062,6480785
2017-05-18,126.459999,127.870003,125.959999,126.970001,112.013718,6571254
2017-05-19,127.029999,127.389999,126.440002,127.000000,112.040184,6957167
2017-05-22,126.629997,127.650002,126.629997,127.260002,112.269554,4858159
2017-05-23,127.309998,128.149994,127.309998,127.519997,112.498932,3972921
2017-05-24,127.790001,128.000000,127.290001,127.510002,112.490105,3967685
2017-05-25,126.739998,127.620003,126.330002,127.529999,113.253830,5294213
2017-05-26,127.230003,127.669998,126.830002,126.919998,112.712120,4005009
2017-05-30,126.699997,127.390099,126.190002,127.110001,112.880867,3665353
2017-05-31,127.349998,128.800003,127.349998,128.250000,113.893234,8813511
2017-06-01,128.320007,128.779999,128.119995,128.779999,114.363914,5790899
2017-06-02,129.050003,130.139999,128.830002,130.080002,115.518372,6562527
2017-06-05,129.970001,130.699997,129.800003,130.360001,115.767029,4634663
